,Stock_Codes,Company_Name
1311,513699,SOLID STONE COMPANY LTD.
1312,513703,KUMAR WIRE CLOTH MANUFACTURING COMPANY LTD.
1313,513709,SHILP GRAVURES LTD.
1314,513713,White Organic Agro Ltd
1315,513721,MFS INTERCORP LTD.
1316,513723,HG Industries Ltd
1317,513727,RANJEEV ALLOYS LTD.
1318,513729,ARO GRANITE INDUSTRIES LTD.
1319,514010,HIMACHAL FIBRES LTD.
1320,514028,RAJKAMAL SYNTHETICS LTD.
1321,514030,DEEPAK SPINNERS LTD.
1322,514034,JBF INDUSTRIES LTD.
1323,514036,LOYAL TEXTILE MILLS LTD.
1324,514043,HIMATSINGKA SEIDE LTD.
1325,514045,BSL LTD.
1326,514060,Evergreen Textiles Limited
1327,514087,PBM POLYTEX LTD.
1328,514113,ADINATH TEXTILES LTD.
1329,514116,GUPTA SYNTHETICS LTD.
1330,514118,ESKAY K'N'IT (INDIA) LTD.
1331,514128,KONARK SYNTHETIC LTD.
1332,514138,SURYALATA SPINNING MILLS LTD.
1333,514140,SURYAVANSHI SPINNING MILLS LTD.
1334,514142,T T LTD.
1335,514144,UNIWORTH LTD.
1336,514162,WELSPUN INDIA LTD.
1337,514165,INDIAN ACRYLICS LTD.
1338,514167,GANESHA ECOSPHERE LTD.
1339,514171,CEETA INDUSTRIES LTD.
1340,514175,VARDHMAN POLYTEX LTD.
1341,514177,RISHAB SPECIAL YARNS LTD.
1342,514183,BLACK ROSE INDUSTRIES LTD.
1343,514197,S&T CORPORATION LTD.
1344,514199,BALA TECHNO INDUSTRIES LTD.
1345,514211,SUMEET INDUSTRIES LTD.
1346,514215,BINNY LTD.
1347,514221,K-Lifestyle & Industries Limited
1348,514223,RAMGOPAL POLYTEX LTD.
1349,514234,SANGAM (INDIA) LTD.
1350,514236,TTL Enterprises Ltd
1351,514238,Mkventures Capital Ltd
1352,514240,Kush Industries Ltd
1353,514248,SREECHEM RESINS LTD.
1354,514264,SEASONS TEXTILES LTD.
1355,514266,ZENITH FIBRES LTD.
1356,514272,BHILWARA SPINNERS LTD.
1357,514274,AARVEE DENIMS & EXPORTS LTD.
1358,514280,Sanrhea Technical Textiles Ltd.
1359,514286,ASHIMA LTD.
1360,514296,Haryana Texprints (Overseas) Limited
1361,514300,PIONEER EMBROIDERIES LTD.
1362,514302,VIPPY SPINPRO LTD.
1363,514304,S.kumars Nationwide Ltd.
1364,514308,Hanjer Fibres Ltd.
1365,514312,JAIHIND SYNTHETICS LTD.
1366,514316,RAGHUVIR SYNTHETICS LTD.
1367,514318,JATTASHANKAR INDUSTIES LTD.
1368,514322,KAMADGIRI FASHION LTD.
1369,514324,OMNITEX INDUSTRIES (INDIA) LTD.
1370,514326,PATSPIN INDIA LTD.
1371,514330,One Global Service Provider Ltd
1372,514332,NEO INFRACON LTD.
1373,514336,Genesis Ibrc India Ltd
1374,514348,WINSOME YARNS LTD.
1375,514354,PREMIER POLYFILM LTD.
1376,514358,Everlon Financials Ltd
1377,514360,Gupta Carpets International Ltd.
1378,514366,CITIZEN YARNS LTD.
1379,514378,YARN SYNDICATE LTD.
1380,514386,GUJARAT COTEX LTD.
1381,514394,Atlas Jewellery India Limited
1382,514400,GARWARE SYNTHETICS LTD.
1383,514402,Eco Hotels And Resorts Ltd
1384,514412,SARUP INDUSTRIES LTD.
1385,514414,OXFORD INDUSTRIES LTD.
1386,514418,Mangalam Organics Limited
1387,514428,HINDUSTAN ADHESIVES LTD.
1388,514440,Blue Pearl Texspin Limited
1389,514442,SRI KPR INDUSTRIES LTD.
1390,514446,Ls Industries Ltd.
1391,514448,JYOTI RESINS & ADHESIVES LTD.
1392,514450,Mahalaxmi Rubtech Ltd.
1393,514454,SOUTHERN LATEX LTD.
1394,514460,OSWAL YARNS LTD.
1395,514470,WINSOME TEXTILE INDUSTRIES LTD.
1396,514474,FAIR DEAL FILAMENTS LTD.
1397,514482,Asahi Industries Limited
1398,514484,THAMBBI MODERN SPINNING MILLS LTD.
1399,514486,POLYGENTA TECHNOLOGIES LTD.
1400,515018,REGENCY CERAMICS LTD.
1401,515030,ASAHI INDIA GLASS LTD.
1402,515037,MURUDESHWAR CERAMICS LTD.
1403,515043,SAINT-GOBAIN SEKURIT INDIA LTD.
1404,515055,Anant Raj Limited
1405,515059,MADHUSUDAN INDUSTRIES LTD.
1406,515081,SRI VAJRA GRANITES LTD.
1407,515085,RESTILE CERAMICS LTD.
1408,515093,MADHAV MARBLES & GRANITES LTD.
1409,515097,Gee Gee Granites Ltd.
1410,515099,Vertical Industries Ltd
1411,515127,Ramasigns Industries Ltd
1412,515145,HINDUSTHAN NATIONAL GLASS & INDUSTRIES LTD.
1413,515147,Haldyn Glass Ltd
1414,516003,Duroply Industries Ltd
1415,516007,MANGALAM TIMBER PRODUCTS LTD.
1416,516016,SHREYANS INDUSTRIES LTD.
1417,516020,AGIO PAPER & INDUSTRIES LTD.
1418,516022,STAR PAPER MILLS LTD.
1419,516030,Pakka Ltd
1420,516032,Tahmar Enterprises Ltd
1421,516038,SOMA PAPERS & INDUSTRIES LTD.
1422,516062,NATIONAL PLYWOOD INDUSTRIES LTD.
1423,516064,Arrow Greentech Ltd
1424,516072,VISHNU CHEMICALS LTD.
1425,516078,JUMBO BAG LTD.
1426,516082,N.R.AGARWAL INDUSTRIES LTD.
1427,516086,SHREE RAJESHWARANAND PAPER MILLS LTD.
1428,516092,3P Land Holdings Ltd
1429,516096,SANGAL PAPERS LTD.
1430,516098,VENTURA TEXTILES LTD.
1431,516106,SHREE KARTHIK PAPERS LTD.
1432,516108,SOUTH INDIA PAPER MILLS LTD.
1433,516110,Family Care Hospitals Ltd
1434,517001,Birla Power Solutions Ltd.
1435,517015,VINDHYA TELELINKS LTD.
1436,517035,RIR Power Electronics Ltd
1437,517041,ADOR WELDING LTD.
1438,517044,INTERNATIONAL DATA MANAGEMENT LTD.
1439,517059,SALZER ELECTRONICS LTD.
1440,517063,JETKING INFOTRAIN LTD.
1441,517077,IND-AGIV COMMERCE LTD.
1442,517080,High Ground Enterprise Ltd
1443,517096,APLAB LTD.
1444,517119,PCS TECHNOLOGY LTD.
1445,517140,MOSER BAER INDIA LTD.
1446,517146,USHA MARTIN LTD.
1447,517164,ZENITH COMPUTERS LTD.
1448,517166,SPEL SEMICONDUCTOR LTD.
1449,517168,SUBROS LTD.
1450,517170,Edvenswa Enterprises Ltd
1451,517172,Pervasive Commodities Ltd
1452,517174,HONEYWELL AUTOMATION INDIA LTD.
1453,517201,SWITCHING TECHNOLOGIES GUNTHER LTD.
1454,517206,LUMAX INDUSTRIES LTD.
1455,517214,Digispice Technologies Ltd
1456,517224,SUJANA UNIVERSAL INDUSTRIES LTD.
1457,517228,TREND ELECTRONICS LTD.
1458,517230,PAE LTD.
1459,517236,CALCOM VISION LTD.
1460,517238,DYNAVISION LTD.
1461,517246,BCC FUBA INDIA LTD.
1462,517258,PRECISION ELECTRONICS LTD.
1463,517264,FINE-LINE CIRCUITS LTD.
1464,517271,HBL POWER SYSTEMS LTD.
1465,517273,S&S POWER SWITCHGEAR LTD.
1466,517288,Gujarat Poly Electronics Ltd
1467,517296,Phoenix Lamps Limited
1468,517300,GUJARAT INDUSTRIES POWER CO.LTD.
1469,517320,SAVANT INFOCOMM LTD.
1470,517326,Cmc Ltd.
1471,517330,CMI LTD.
1472,517334,Samvardhana Motherson International Ltd
1473,517344,MINDTECK (INDIA) LTD.
1474,517354,HAVELLS INDIA LTD.
1475,517356,ACI INFOCOM LTD.
1476,517360,SBEC SYSTEMS (INDIA) LTD.
1477,517370,INCAP LTD.
1478,517372,GUJARAT INTRUX LTD.
1479,517374,MUKESH STRIPS LTD.
1480,517380,IGARASHI MOTORS INDIA LTD.
1481,517385,Symphony Limited
1482,517391,Gamma Infoway Exalt Ltd.
1483,517393,VINTRON INFORMATICS LTD.
1484,517397,PAN ELECTRONICS INDIA LTD.
1485,517399,VXL INSTRUMENTS LTD.
1486,517403,SUN SOURCE (INDIA) LTD.
1487,517411,SHYAM TELECOM LTD.
1488,517415,LEE & NEE SOFTWARES (EXPORTS) LTD.
1489,517417,PATELS AIRTEMP (INDIA) LTD.
1490,517421,Butterfly Gandhimathi Appliances Ltd
1491,517423,INTEGRA SWITCHGEAR LTD.
1492,517429,Athena Global Technologies Ltd
1493,517431,NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.
1494,517433,INNOVATION SOFTWARE EXPORTS LTD.
1495,517437,DUTRON POLYMERS LTD.
1496,517447,R.S.SOFTWARE INDIA LTD.
1497,517449,MAGNA ELECTRO CASTINGS LTD.
1498,517463,LINAKS MICROELECTRONICS LTD.
1499,517467,MARSONS LIMITED
1500,517471,KOA TOOLS INDIA LTD.
1501,517477,ELNET TECHNOLOGIES LTD.
1502,517481,Artech Power & Trading Ltd
1503,517494,Accel Ltd
1504,517496,RICOH INDIA LTD.
1505,517498,WEBSOL ENERGY SYSTEM LTD.
1506,517500,ROTO PUMPS LTD.
1507,517506,TTK PRESTIGE LTD.
1508,517514,D&H India Ltd
1509,517518,Leel Electricals Ltd
1510,517522,RAJRATAN GLOBAL WIRE LTD.
1511,517530,Surana Telecom And Power Limited
1512,517534,Nivyah Infrastructure & Telecom Services Ltd.
1513,517536,ONWARD TECHNOLOGIES LTD.
1514,517544,CENTUM ELECTRONICS LTD.
1515,517546,ALFA TRANSFORMERS LTD.
1516,517548,STARLITE COMPONENTS LTD.
1517,517552,ADVANCED MICRONIC DEVICES LTD.
1518,517554,NHC FOODS LTD.
1519,517556,PVP VENTURES LTD.
1520,517562,TRIGYN TECHNOLOGIES LTD.
1521,517564,GR CABLES LTD.
1522,517565,Ashco Niulab Industries Ltd.
1523,517569,KEI INDUSTRIES LTD.
1524,517571,IMP POWERS LTD.
1525,517973,DMC Education Ltd
1526,518011,KEERTHI INDUSTRIES LTD.
1527,518017,Bheema Cements Ltd.
1528,518029,GUJARAT SIDHEE CEMENT LTD.
1529,518075,SURAJ PRODUCTS LTD.
1530,518091,ANJANI PORTLAND CEMENT LTD.
1531,519003,Modi Naturals Limited
1532,519014,PRASHANT INDIA LTD.
1533,519031,SHAH FOODS LTD.
1534,519035,Wadala Commodities Ltd.
1535,519039,Vippy Industries Ltd.
1536,519064,KHANDELWAL EXTRACTION LTD.
1537,519091,TASTY BITE EATABLES LTD.
1538,519097,RITESH INTERNATIONAL LTD.
1539,519105,AVT NATURAL PRODUCTS LTD.
1540,519126,HINDUSTAN FOODS LTD.
1541,519136,NAHAR INDUSTRIAL ENTERPRISES LTD.
1542,519152,VADILAL ENTERPRISES LTD.
1543,519156,VADILAL INDUSTRIES LTD.
1544,519174,ASHIANA AGRO INDUSTRIES LTD.
1545,519183,ADF FOODS LTD.
1546,519191,Retro Green Revolution Ltd
1547,519200,NAVCOM INDUSTRIES LTD.
1548,519214,WILLIAMSON FINANCIAL SERVICES LTD.
1549,519216,AJANTA SOYA LTD.
1550,519224,WILLIAMSON MAGOR & COMPANY LTD.
1551,519230,Richirich Inventures Limited
1552,519234,Superior Industrial Enterprises Limited
1553,519238,SAPTARISHI AGRO INDUSTRIES LTD.
1554,519242,SARDA PROTEINS LTD.
1555,519248,JVL AGRO INDUSTRIES LTD.
1556,519260,Sanwaria Consumer Ltd
1557,519262,PRIMA AGRO LTD.
1558,519273,UNNO INDUSTRIES LTD.
1559,519279,MADHUR INDUSTRIES LTD.
1560,519281,AGRO DUTCH INDUSTRIES LTD.
1561,519285,TARAI FOODS LTD.
1562,519287,MODERN DAIRIES LTD.
1563,519295,BAMBINO AGRO INDUSTRIES LTD.
1564,519299,PRIME INDUSTRIES LTD.
1565,519303,Trombo Extractions Ltd
1566,519307,VIKAS WSP LTD.
1567,519319,Jatalia Global Ventures Ltd
1568,519323,MURLI INDUSTRIES LTD.
1569,519331,VSF PROJECTS LTD.
1570,519353,BANSISONS TEA INDUSTRIES LTD.
1571,519359,POONA DAL & OIL INDUSTRIES LTD.
1572,519367,TRANSGLOBE FOODS LTD.
1573,519373,VIMAL OIL & FOODS LTD.
1574,519383,ANIK INDUSTRIES LTD.
1575,519397,SHARAT INDUSTRIES LTD.
1576,519413,Datiware Maritime Infra Ltd
1577,519415,KMG MILK FOOD LTD.
1578,519421,KSE LTD.
1579,519439,PIONEER AGRO EXTRACTS LTD.
1580,519455,NARBADA GEMS AND JEWELLERY LTD.
1581,519457,VIRAT CRANE INDUSTRIES LTD.
1582,519463,Ib Infotech Enterprises Ltd.
1583,519471,Ambar Protein Industries Ltd
1584,519475,CHORDIA FOOD PRODUCTS LTD.
1585,519477,CIAN Agro Industries & Infrastructure Ltd
1586,519479,OMEGA AG-SEEDS (PUNJAB) LTD.
1587,519483,TAI INDUSTRIES LTD.
1588,519485,Kohinoor Techno Engineers Limited
1589,519491,OCEAN AGRO (INDIA) LTD.
1590,519494,N.K.INDUSTRIES LTD.
1591,519500,Bkv Industries Ltd.
1592,519506,NCC BLUE WATER PRODUCTS LTD.
1593,519532,ASIAN TEA & EXPORTS LTD.
1594,519552,Heritage Foods Limited
1595,519560,NEHA INTERNATIONAL LTD.
1596,519566,SIMRAN FARMS LTD.
1597,519570,LAKSHMI OVERSEAS INDUSTRIES LTD.
1598,519586,Smilax Industries Limited
1599,519588,DFM FOODS LTD.
1600,519600,CCL PRODUCTS (INDIA) LTD.
1601,519602,Kellton Tech Solutions Ltd.
1602,519604,SURYO FOODS & INDUSTRIES LTD.
1603,519606,INTEGRATED PROTEINS LTD.
1604,519612,MAHAAN FOODS LTD.
1605,520003,Vybra Automet Ltd.
1606,520008,RICO AUTO INDUSTRIES LTD.
1607,520021,OMAX AUTOS LTD.
1608,520026,Hella India Lighting Ltd.
1609,520043,MUNJAL SHOWA LTD.
1610,520051,JAMNA AUTO INDUSTRIES LTD.
1611,520056,TVS Holdings Ltd
1612,520057,Jtekt India Ltd
1613,520059,MUNJAL AUTO INDUSTRIES LTD.
1614,520066,JAY BHARAT MARUTI LTD.
1615,520073,RACL Geartech Ltd
1616,520075,SAMKRG PISTONS & RINGS LTD.
1617,520077,AMTEK AUTO LTD.
1618,520081,EAST COAST STEEL LTD.
1619,520086,SICAL LOGISTICS LTD.
1620,520111,RATNAMANI METALS & TUBES LTD.
1621,520113,VESUVIUS INDIA LTD.
1622,520115,BRAKES AUTO (INDIA) LTD.
1623,520119,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.
1624,520121,ARCEE INDUSTRIES LTD.
1625,520123,ABC INDIA LTD.
1626,520127,BALURGHAT TECHNOLOGIES LTD.
1627,520131,COASTAL ROADWAYS LTD.
1628,520139,JAGSON AIRLINES LTD.
1629,520141,SIBAR AUTO PARTS LTD.
1630,520151,SHREYAS SHIPPING & LOGISTICS LTD.
1631,520155,Starlog Enterprises Ltd
1632,521003,SHIVA SUITINGS LTD.
1633,521005,Titan Intech Ltd
1634,521014,EUROTEX INDUSTRIES & EXPORTS LTD.
1635,521016,INDO COUNT INDUSTRIES LTD.
1636,521018,MARAL OVERSEAS LTD.
1637,521022,SURYAJYOTI SPINNING MILLS LTD.
1638,521030,Nakoda Limited
1639,521034,SOMA TEXTILES & INDUSTRIES LTD.
1640,521036,SOURCE INDUSTRIES (INDIA) LTD.
1641,521038,TAMILNADU JAIBHARAT MILLS LTD.
1642,521046,Vanasthali Textile Industries Ltd.
1643,521048,ADVANCE LIFESTYLES LTD.
1644,521054,KAKATIYA TEXTILES LTD.
1645,521056,Cheslind Textiles Ltd.
1646,521062,Perfect-Octave Media Projects Ltd
1647,521064,TRIDENT LTD.
1648,521068,HISAR SPINNING MILLS LTD.
1649,521070,ALOK INDUSTRIES LTD.
1650,521076,AMIT SPINNING INDUSTRIES LTD.
1651,521080,PASARI SPINNING MILLS LTD.
1652,521082,SPENTEX INDUSTRIES LTD.
1653,521097,AMARJOTHI SPINNING MILLS LTD.
1654,521105,OLYMPIA INDUSTRIES LTD.
1655,521109,NAGREEKA EXPORTS LTD.
1656,521113,SUDITI INDUSTRIES LTD.
1657,521127,KHATOR FIBRE & FABRICS LTD.
1658,521131,Shree Bhavya Fabrics Ltd
1659,521133,GEM SPINNERS INDIA LTD.
1660,521137,EUREKA INDUSTRIES LTD.
1661,521141,ADITYA SPINNERS LTD.
1662,521149,PRIME URBAN DEVELOPMENT INDIA LTD.
1663,521151,DHANLAXMI FABRICS LTD.
1664,521161,SRI LAKSHMI SARASWATHI TEXTILES (ARNI) LTD.
1665,521163,ZODIAC CLOTHING CO.LTD.
1666,521167,FRONTLINE BUSINESS SOLUTIONS LTD.
1667,521174,ARORA FIBRES LTD.
1668,521176,GANGOTRI TEXTILES LTD.
1669,521178,SRI RAMAKRISHNA MILLS (COIMBATORE) LTD.
1670,521180,SUPER SPINNING MILLS LTD.
1671,521182,SEASONS FURNISHINGS LTD.
1672,521188,UNITED TEXTILES LTD.
1673,521194,SIL INVESTMENTS LTD.
1674,521200,SURYALAKSHMI COTTON MILLS LTD.
1675,521206,SAMTEX FASHIONS LTD.
1676,521210,CITYMAN LTD.
1677,521216,DHANALAXMI ROTO SPINNERS LTD.
1678,521220,DAMODAR INDUSTRIES LTD.
1679,521222,SANBLUE CORPORATION LTD.
1680,521226,UNIROYAL INDUSTRIES LTD.
1681,521228,TATIA GLOBAL VENNTURE LTD.
1682,521232,SUNIL INDUSTRIES LTD.
1683,521234,SRI NACHAMMAI COTTON MILLS LTD.
1684,521238,KKRRAFTON Developers Ltd
1685,521240,SAMBANDAM SPINNING MILLS LTD.
1686,521242,KANDAGIRI SPINNING MILLS LTD.
1687,521244,Chitradurga Spintex Ltd.
1688,521246,PARAS PETROFILS LTD.
1689,521248,KITEX GARMENTS LTD.
1690,522001,CRANEX LTD.
1691,522004,BATLIBOI LTD.
1692,522005,AUSTIN ENGINEERING CO.LTD.
1693,522014,UNITED DRILLING TOOLS LTD.
1694,522015,VCCL LTD.
1695,522017,FLUIDOMAT LTD.
1696,522027,EMA INDIA LTD.
1697,522029,WINDSOR MACHINES LTD.
1698,522034,SHANTHI GEARS LTD.
1699,522036,MIVEN MACHINE TOOLS LTD.
1700,522042,S.m.energy Teknik & Electronics Ltd.
1701,522064,Honda India Power Products Ltd
1702,522073,The Hi-Tech Gears Ltd
1703,522074,ELGI EQUIPMENTS LTD.
1704,522080,Terruzzi Fercalx India Limited
1705,522085,STONE INDIA LTD.
1706,522091,United Van Der Horst Ltd.
1707,522101,KILBURN ENGINEERING LTD.
1708,522105,BIRLA PRECISION TECHNOLOGIES LTD.
1709,522108,YUKEN INDIA LTD.
1710,522113,TIMKEN INDIA LTD.
1711,522122,VOITH PAPER FABRICS INDIA LTD.
1712,522134,ARTSON ENGINEERING LTD.
1713,522142,Techno Forge Ltd.
1714,522150,ADITYA FORGE LTD.
1715,522152,SOLITAIRE MACHINE TOOLS LTD.
1716,522163,Diamond Power Infrastructure Limited
1717,522165,INDSIL HYDRO POWER AND MANGANESE LTD.
1718,522171,TMT (INDIA) LTD.
1719,522175,SVOGL Oil Gas And Energy Ltd
1720,522183,ITL INDUSTRIES LTD.
1721,522195,FRONTIER SPRINGS LTD.
1722,522205,PRAJ INDUSTRIES LTD.
1723,522207,RASANDIK ENGINEERING INDUSTRIES INDIA LTD.
1724,522209,YOGI SUNG-WON (INDIA) LTD.
1725,522215,HLE Glascoat Ltd
1726,522217,GUJARAT APOLLO INDUSTRIES LTD.
1727,522229,TANEJA AEROSPACE & AVIATION LTD.
1728,522231,CONART ENGINEERS LTD.
1729,522233,VHCL INDUSTRIES LTD.
1730,522235,Minal Industries Limited
1731,522237,SHIVAGRICO IMPLEMENTS LTD.
1732,522241,M.M.FORGINGS LTD.
1733,522245,IYKOT HITECH TOOLROOM LTD.
1734,522249,MAYUR UNIQUOTERS LTD.
1735,522251,CENLUB INDUSTRIES LTD.
1736,522257,RAJOO ENGINEERS LTD.
1737,522259,Kalindee Rail Nirman (Engineers) Ltd
1738,522261,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD.
1739,522263,JMC PROJECTS (INDIA) LTD.
1740,522267,VEEJAY LAKSHMI ENGINEERING WORKS LTD.
1741,522273,AHMEDABAD STEELCRAFT LTD.
1742,522275,GE T&D India Ltd
1743,522279,Satellite Engineering Ltd.
1744,522281,RAM RATNA WIRES LTD.
1745,522285,JAYASWAL NECO INDUSTRIES LTD.
1746,522287,Kalpataru Projects International Ltd
1747,522289,NMS Resources Global Ltd
1748,522292,Candour Techtex Ltd
1749,522294,T & I GLOBAL LTD.
1750,522295,CONTROL PRINT LTD.
1751,522296,S.s.forgings & Engineering Ltd.
1752,522650,BEMCO HYDRAULICS LTD.
1753,523001,PROFESSIONAL DIAMONDS LTD.
1754,523007,ANSAL BUILDWELL LTD.
1755,523011,WEIZMANN LTD.
1756,523019,B.N.RATHI SECURITIES LTD.
1757,523021,RISHI TECHTEX LTD.
1758,523023,SINCLAIRS HOTELS LTD.
1759,523025,SAFARI INDUSTRIES (INDIA) LTD.
1760,523030,RAJDHANI LEASING & INDUSTRIES LTD.
1761,523031,ADS DIAGNOSTIC LTD.
1762,523054,BINAYAK TEX PROCESSORS LTD.
1763,523062,J.J.FINANCE CORPORATION LTD.
1764,523100,COSMO FERRITES LTD.
1765,523105,Cropster Agro Ltd
1766,523113,FUTURISTIC SECURITIES LTD.
1767,523116,SANCO TRANS LTD.
1768,523120,ADOR MULTIPRODUCTS LTD.
1769,523127,EIH ASSOCIATED HOTELS LTD.
1770,523133,BONANZA INDUSTRIES LTD.
1771,523144,MEDI-CAPS LTD.
1772,523151,OTCO INTERNATIONAL LTD.
1773,523160,MORGANITE CRUCIBLE (INDIA) LTD.
1774,523164,SIP INDUSTRIES LTD.
1775,523186,B&A Packaging India Limited
1776,523200,CLASSIC DIAMONDS (INDIA) LTD.
1777,523204,ABAN OFFSHORE LTD.
1778,523207,KOKUYO CAMLIN LTD.
1779,523209,Nicco Uco Alliance Credit Ltd.
1780,523218,KILBURN OFFICE AUTOMATION LTD.
1781,523221,MCS LTD.
1782,523222,SRM ENERGY LTD.
1783,523229,BHARAT SEATS LTD.
1784,523232,CONTINENTAL PETROLEUMS LTD.
1785,523236,SHRENUJ & CO.LTD.
1786,523242,NB FOOTWEAR LTD.
1787,523248,MACHINO PLASTICS LTD.
1788,523260,PEARL POLYMERS LTD.
1789,523261,VENKY'S (INDIA) LTD.
1790,523269,ADVANI HOTELS & RESORTS (INDIA) LTD.
1791,523277,GV FILMS LTD.
1792,523283,SUPERHOUSE LTD.
1793,523289,RAMA VISION LTD.
1794,523301,TCPL PACKAGING LTD.
1795,523307,Panasonic Appliances India Company Ltd.
1796,523315,PURITY FLEX PACK LTD.
1797,523319,BALMER LAWRIE & CO.LTD.
1798,523323,KOVAI MEDICAL CENTER & HOSPITAL LTD.
1799,523329,ELDECO HOUSING & INDUSTRIES LTD.
1800,523343,MICROSE INDIA LTD.
1801,523351,STANDARD SHOE SOLE AND MOULD (INDIA) LTD.
1802,523353,Cdr Health Care Ltd.
1803,523359,Sharp Industries Ltd.
1804,523363,Sterling Holiday Resorts (india) Ltd.
1805,523367,DCM Shriram Limited
1806,523369,DCM SHRIRAM INDUSTRIES LTD.
1807,523371,MAWANA SUGARS LTD.
1808,523373,MINI DIAMONDS (INDIA) LTD.
1809,523384,MAHA RASHTRA APEX CORPORATION LTD.
1810,523385,NILKAMAL LTD.
1811,523387,TRITON CORP.LTD.
1812,523391,NAHAR POLYFILMS LTD.
1813,523395,3M INDIA LTD.
1814,523398,Johnson Controls-Hitachi Air Conditioning India Ltd
1815,523405,JM FINANCIAL LTD.
1816,523411,ADC India Communications Limited
1817,523415,COVENTRY COIL-O-MATIC (HARYANA) LTD.
1818,523419,TAMILNADU TELECOMMUNICATIONS LTD.
1819,523425,SUNRAJ DIAMOND EXPORTS LTD.
1820,523445,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.
1821,523449,SHARP INDIA LTD.
1822,523455,TECHTRAN POLYLENSES LTD.
1823,523457,Linde India Limited
1824,523465,IND BANK HOUSING LTD.
1825,523467,JAI MATA GLASS LTD.
1826,523475,LOTUS CHOCOLATE CO.LTD.
1827,523477,Gujarat Gas Co.ltd.
1828,523483,PACIFIC INDUSTRIES LTD.
1829,523489,CHENNAI MEENAKSHI MULTISPECIALITY HOSPITAL LTD.
1830,523519,UNIVERSAL OFFICE AUTOMATION LTD.
1831,523523,RAINBOW PAPERS LTD.
1832,523537,APM INDUSTRIES LTD.
1833,523539,PRECISION WIRES INDIA LTD.
1834,523550,KRYPTON INDUSTRIES LTD.
1835,523558,Swiss Military Consumer Goods Ltd
1836,523566,MARTIN BURN LTD.
1837,523574,Future Enterprises Ltd
1838,523576,Flawless Diamond (india) Ltd.
1839,523586,INDIAN TONERS & DEVELOPERS LTD.
1840,523592,JENSON & NICHOLSON (INDIA) LTD.
1841,523594,KUNSTSTOFFE INDUSTRIES LTD.
1842,523598,SHIPPING CORPORATION OF INDIA LTD.
1843,523606,SIKA INTERPLANT SYSTEMS LTD.
1844,523610,ITI LTD.
1845,523618,DREDGING CORPORATION OF INDIA LTD.
1846,523620,PHAARMASIA LTD.
1847,523628,Poddar Housing and Development Ltd
1848,523630,NATIONAL FERTILIZERS LTD.
1849,523638,IP RINGS LTD.
1850,523642,PI Industries Ltd
1851,523648,PLASTIBLENDS INDIA LTD.
1852,523650,Yash Innoventures Ltd
1853,523652,Kkalpana Plastick Ltd
1854,523658,Rishiroop Rubber (international) Ltd.
1855,523660,WATERBASE LTD.
1856,523670,NOIDA MEDICARE CENTRE LTD.
1857,523672,FLEX FOODS LTD.
1858,523676,GOLKUNDA DIAMONDS & JEWELLERY LTD.
1859,523694,APCOTEX INDUSTRIES LTD.
1860,523696,Fortis Malar Hospitals Limited
1861,523704,MASTEK LTD.
1862,523708,EIMCO ELECON (INDIA) LTD.
1863,523710,SAYAJI HOTELS LTD.
1864,523712,JMG CORPORATION LTD.
1865,523716,ASHIANA HOUSING LTD.
1866,523722,SVAM SOFTWARE LTD.
1867,523724,VIJAY SHANTHI BUILDERS LTD.
1868,523728,SIDDHARTHA TUBES LTD.
1869,523732,ECOBOARD INDUSTRIES LTD.
1870,523736,Dhunseri Ventures Ltd
1871,523752,Trans India House Impex Ltd
1872,523754,Mahindra EPC Irrigation Ltd
1873,523756,SREI INFRASTRUCTURE FINANCE LTD.
1874,523768,GUJARAT BOROSIL LTD.
1875,523782,Mitshi India Ltd
1876,523790,SHUKRA JEWELLERS LTD.
1877,523792,MAZDA LTD.
1878,523796,VICEROY HOTELS LTD.
1879,523810,DIVINE MULTIMEDIA (INDIA) LTD.
1880,523820,NEO CORP INTERNATIONAL LTD.
1881,523826,SOVEREIGN DIAMONDS LTD.
1882,523828,MENON BEARINGS LTD.
1883,523832,Mukat Pipes Ltd.
1884,523836,GUJARAT RAFFIA INDUSTRIES LTD.
1885,523838,SIMPLEX INFRASTRUCTURES LTD.
1886,523840,INNOVATIVE TECH PACK LTD.
1887,523842,Super Tannery Limited
1888,523844,Constronics Infra Ltd
1889,523846,SKYPAK SERVICE SPECIALIST LTD.
1890,523850,AXTEL INDUSTRIES LTD.
1891,523856,Torrent Cables Ltd.
1892,523862,Pacheli Industrial Finance Ltd
1893,523872,MAGNA INDUSTRIES & EXPORTS LTD.
1894,523874,PRECISION CONTAINEURS LTD.
1895,523876,JYOTI OVERSEAS LTD.
1896,523878,TOTAL EXPORTS LTD.
1897,523888,V R WOODART LTD.
1898,523890,D.S.KULKARNI DEVELOPERS LTD.
1899,523896,Avi Products India Ltd
1900,524000,Poonawalla Fincorp Ltd
1901,524013,HINDUSTAN FLUOROCARBONS LTD.
1902,524019,Kingfa Science & Technology (India) Ltd
1903,524031,Patidar Buildcon Limited
1904,524037,RAMA PHOSPHATES LTD.
