,SYMBOL,NAME OF COMPANY,yTickers
100,ALPHAGEO,Alphageo (India) Limited,ALPHAGEO.NS
101,ALPSINDUS,Alps Industries Limited,ALPSINDUS.NS
102,AMBER,Amber Enterprises India Limited,AMBER.NS
103,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS
104,AMBIKCO,Ambika Cotton Mills Limited,AMBIKCO.NS
105,AMBUJACEM,Ambuja Cements Limited,AMBUJACEM.NS
106,AMDIND,AMD Industries Limited,AMDIND.NS
107,AMIORG,Ami Organics Limited,AMIORG.NS
108,AMJLAND,Amj Land Holdings Limited,AMJLAND.NS
109,AMNPLST,Amines & Plasticizers Limited,AMNPLST.NS
110,AMRUTANJAN,Amrutanjan Health Care Limited,AMRUTANJAN.NS
111,ANANDRATHI,Anand Rathi Wealth Limited,ANANDRATHI.NS
112,ANANTRAJ,Anant Raj Limited,ANANTRAJ.NS
113,ANDHRAPAP,ANDHRA PAPER LIMITED,ANDHRAPAP.NS
114,ANDHRSUGAR,The Andhra Sugars Limited,ANDHRSUGAR.NS
115,ANGELONE,Angel One Limited,ANGELONE.NS
116,ANIKINDS,Anik Industries Limited,ANIKINDS.NS
117,ANKITMETAL,Ankit Metal & Power Limited,ANKITMETAL.NS
118,ANMOL,Anmol India Limited,ANMOL.NS
119,ANSALAPI,Ansal Properties & Infrastructure Limited,ANSALAPI.NS
120,ANTGRAPHIC,Antarctica Limited,ANTGRAPHIC.NS
121,ANUHPHR,Anuh Pharma Limited,ANUHPHR.NS
122,ANUP,The Anup Engineering Limited,ANUP.NS
123,ANURAS,Anupam Rasayan India Limited,ANURAS.NS
124,APARINDS,Apar Industries Limited,APARINDS.NS
125,APCL,Anjani Portland Cement Limited,APCL.NS
126,APCOTEXIND,Apcotex Industries Limited,APCOTEXIND.NS
127,APEX,Apex Frozen Foods Limited,APEX.NS
128,APLAPOLLO,APL Apollo Tubes Limited,APLAPOLLO.NS
129,APLLTD,Alembic Pharmaceuticals Limited,APLLTD.NS
130,APOLLO,Apollo Micro Systems Limited,APOLLO.NS
131,APOLLOHOSP,Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS
132,APOLLOPIPE,Apollo Pipes Limited,APOLLOPIPE.NS
133,APOLLOTYRE,Apollo Tyres Limited,APOLLOTYRE.NS
134,APOLSINHOT,Apollo Sindoori Hotels Limited,APOLSINHOT.NS
135,APTECHT,Aptech Limited,APTECHT.NS
136,APTUS,Aptus Value Housing Finance India Limited,APTUS.NS
137,ARCHIDPLY,Archidply Industries Limited,ARCHIDPLY.NS
138,ARCHIES,Archies Limited,ARCHIES.NS
139,ARE&M,Amara Raja Energy & Mobility Limited,ARE&M.NS
140,ARENTERP,Rajdarshan Industries Limited,ARENTERP.NS
141,ARIES,Aries Agro Limited,ARIES.NS
142,ARIHANTCAP,Arihant Capital Markets Limited,ARIHANTCAP.NS
143,ARIHANTSUP,Arihant Superstructures Limited,ARIHANTSUP.NS
144,ARKADE,Arkade Developers Limited,ARKADE.NS
145,ARMANFIN,Arman Financial Services Limited,ARMANFIN.NS
146,AROGRANITE,Aro Granite Industries Limited,AROGRANITE.NS
147,ARROWGREEN,Arrow Greentech Limited,ARROWGREEN.NS
148,ARSHIYA,Arshiya Limited,ARSHIYA.NS
149,ARSSINFRA,ARSS Infrastructure Projects Limited,ARSSINFRA.NS
150,ARTEMISMED,Artemis Medicare Services Limited,ARTEMISMED.NS
151,ARTNIRMAN,Art Nirman Limited,ARTNIRMAN.NS
152,ARVEE,Arvee Laboratories (India) Limited,ARVEE.NS
153,ARVIND,Arvind Limited,ARVIND.NS
154,ARVINDFASN,Arvind Fashions Limited,ARVINDFASN.NS
155,ARVSMART,Arvind SmartSpaces Limited,ARVSMART.NS
156,ASAHIINDIA,Asahi India Glass Limited,ASAHIINDIA.NS
157,ASAHISONG,Asahi Songwon Colors Limited,ASAHISONG.NS
158,ASAL,Automotive Stampings and Assemblies Limited,ASAL.NS
159,ASALCBR,Associated Alcohols & Breweries Ltd.,ASALCBR.NS
160,ASHAPURMIN,Ashapura Minechem Limited,ASHAPURMIN.NS
161,ASHIANA,Ashiana Housing Limited,ASHIANA.NS
162,ASHIMASYN,Ashima Limited,ASHIMASYN.NS
163,ASHOKA,Ashoka Buildcon Limited,ASHOKA.NS
164,ASHOKAMET,Ashoka Metcast Limited,ASHOKAMET.NS
165,ASHOKLEY,Ashok Leyland Limited,ASHOKLEY.NS
166,ASIANENE,Asian Energy Services Limited,ASIANENE.NS
167,ASIANHOTNR,Asian Hotels (North) Limited,ASIANHOTNR.NS
168,ASIANPAINT,Asian Paints Limited,ASIANPAINT.NS
169,ASIANTILES,Asian Granito India Limited,ASIANTILES.NS
170,ASKAUTOLTD,ASK Automotive Limited,ASKAUTOLTD.NS
171,ASMS,Bartronics India Limited,ASMS.NS
172,ASPINWALL,Aspinwall and Company Limited,ASPINWALL.NS
173,ASTEC,Astec LifeSciences Limited,ASTEC.NS
174,ASTERDM,Aster DM Healthcare Limited,ASTERDM.NS
175,ASTRAL,Astral Limited,ASTRAL.NS
176,ASTRAMICRO,Astra Microwave Products Limited,ASTRAMICRO.NS
177,ASTRAZEN,AstraZeneca Pharma India Limited,ASTRAZEN.NS
178,ASTRON,Astron Paper & Board Mill Limited,ASTRON.NS
179,ATALREAL,Atal Realtech Limited,ATALREAL.NS
180,ATAM,Atam Valves Limited,ATAM.NS
181,ATGL,Adani Total Gas Limited,ATGL.NS
182,ATHERENERG,Ather Energy Limited,ATHERENERG.NS
183,ATL,Allcargo Terminals Limited,ATL.NS
184,ATLANTAA,ATLANTAA LIMITED,ATLANTAA.NS
185,ATLASCYCLE,Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS
186,ATUL,Atul Limited,ATUL.NS
187,ATULAUTO,Atul Auto Limited,ATULAUTO.NS
188,AUBANK,AU Small Finance Bank Limited,AUBANK.NS
189,AURIONPRO,Aurionpro Solutions Limited,AURIONPRO.NS
190,AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA.NS
191,AURUM,Aurum PropTech Limited,AURUM.NS
192,AUSOMENT,Ausom Enterprise Limited,AUSOMENT.NS
193,AUTOAXLES,Automotive Axles Limited,AUTOAXLES.NS
194,AUTOIND,Autoline Industries Limited,AUTOIND.NS
195,AVADHSUGAR,Avadh Sugar & Energy Limited,AVADHSUGAR.NS
196,AVALON,Avalon Technologies Limited,AVALON.NS
197,AVANTEL,Avantel Limited,AVANTEL.NS
198,AVANTEL-RE,Avantel Limited-RE,AVANTEL-RE.NS
199,AVANTIFEED,Avanti Feeds Limited,AVANTIFEED.NS
200,AVG,AVG Logistics Limited,AVG.NS
201,AVL,Aditya Vision Limited,AVL.NS
202,AVONMORE,Avonmore Capital & Management Services Limited,AVONMORE.NS
203,AVROIND,AVRO INDIA LIMITED,AVROIND.NS
204,AVTNPL,AVT Natural Products Limited,AVTNPL.NS
205,AWFIS,Awfis Space Solutions Limited,AWFIS.NS
206,AWHCL,Antony Waste Handling Cell Limited,AWHCL.NS
207,AWL,AWL Agri Business Limited,AWL.NS
208,AXISBANK,Axis Bank Limited,AXISBANK.NS
209,AXISCADES,AXISCADES Technologies Limited,AXISCADES.NS
210,AXITA,Axita Cotton Limited,AXITA.NS
211,AYMSYNTEX,AYM Syntex Limited,AYMSYNTEX.NS
212,AZAD,Azad Engineering Limited,AZAD.NS
213,BAFNAPH,Bafna Pharmaceuticals Limited,BAFNAPH.NS
214,BAGFILMS,B.A.G Films and Media Limited,BAGFILMS.NS
215,BAIDFIN,Baid Finserv Limited,BAIDFIN.NS
216,BAJAJ-AUTO,Bajaj Auto Limited,BAJAJ-AUTO.NS
217,BAJAJCON,Bajaj Consumer Care Limited,BAJAJCON.NS
218,BAJAJELEC,Bajaj Electricals Limited,BAJAJELEC.NS
219,BAJAJFINSV,Bajaj Finserv Limited,BAJAJFINSV.NS
