,SYMBOL,NAME OF COMPANY,yTickers
429,DATAPATTNS,Data Patterns (India) Limited,DATAPATTNS.NS
430,DAVANGERE,Davangere Sugar Company Limited,DAVANGERE.NS
431,DBCORP,D.B.Corp Limited,DBCORP.NS
432,DBEIL,Deepak Builders & Engineers India Limited,DBEIL.NS
433,DBL,Dilip Buildcon Limited,DBL.NS
434,DBOL,Dhampur Bio Organics Limited,DBOL.NS
435,DBREALTY,Valor Estate Limited,DBREALTY.NS
436,DBSTOCKBRO,DB (International) Stock Brokers Limited,DBSTOCKBRO.NS
437,DCAL,Dishman Carbogen Amcis Limited,DCAL.NS
438,DCBBANK,DCB Bank Limited,DCBBANK.NS
439,DCI,Dc Infotech And Communication Limited,DCI.NS
440,DCM,DCM  Limited,DCM.NS
441,DCMFINSERV,DCM Financial Services Limited,DCMFINSERV.NS
442,DCMNVL,DCM Nouvelle Limited,DCMNVL.NS
443,DCMSHRIRAM,DCM Shriram Limited,DCMSHRIRAM.NS
444,DCMSRIND,DCM Shriram Industries Limited,DCMSRIND.NS
445,DCW,DCW Limited,DCW.NS
446,DCXINDIA,DCX Systems Limited,DCXINDIA.NS
447,DDEVPLSTIK,Ddev Plastiks Industries Limited,DDEVPLSTIK.NS
448,DECCANCE,Deccan Cements Limited,DECCANCE.NS
449,DEEDEV,DEE Development Engineers Limited,DEEDEV.NS
450,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS
451,DEEPAKNTR,Deepak Nitrite Limited,DEEPAKNTR.NS
452,DEEPINDS,Deep Industries Limited,DEEPINDS.NS
453,DELHIVERY,Delhivery Limited,DELHIVERY.NS
454,DELPHIFX,DELPHI WORLD MONEY LIMITED,DELPHIFX.NS
455,DELTACORP,Delta Corp Limited,DELTACORP.NS
456,DELTAMAGNT,Delta Manufacturing Limited,DELTAMAGNT.NS
457,DEN,Den Networks Limited,DEN.NS
458,DENORA,De Nora India Limited,DENORA.NS
459,DENTA,Denta Water and Infra Solutions Limited,DENTA.NS
460,DEVIT,Dev Information Technology Limited,DEVIT.NS
461,DEVYANI,Devyani International Limited,DEVYANI.NS
462,DGCONTENT,Digicontent Limited,DGCONTENT.NS
463,DHAMPURSUG,Dhampur Sugar Mills Limited,DHAMPURSUG.NS
464,DHANBANK,Dhanlaxmi Bank Limited,DHANBANK.NS
465,DHANI,Dhani Services Limited,DHANI.NS
466,DHANUKA,Dhanuka Agritech Limited,DHANUKA.NS
467,DHARMAJ,Dharmaj Crop Guard Limited,DHARMAJ.NS
468,DHRUV,Dhruv Consultancy Services Limited,DHRUV.NS
469,DHUNINV,Dhunseri Investments Limited,DHUNINV.NS
470,DIACABS,Diamond Power Infrastructure Limited,DIACABS.NS
471,DIAMINESQ,Diamines & Chemicals Limited,DIAMINESQ.NS
472,DIAMONDYD,Prataap Snacks Limited,DIAMONDYD.NS
473,DICIND,DIC India Limited,DICIND.NS
474,DIFFNKG,Diffusion Engineers Limited,DIFFNKG.NS
475,DIGIDRIVE,Digidrive Distributors Limited,DIGIDRIVE.NS
476,DIGISPICE,DiGiSPICE Technologies Limited,DIGISPICE.NS
477,DIGJAMLMTD,Digjam Limited,DIGJAMLMTD.NS
478,DIL,Debock Industries Limited,DIL.NS
479,DISHTV,Dish TV India Limited,DISHTV.NS
480,DIVGIITTS,Divgi Torqtransfer Systems Limited,DIVGIITTS.NS
481,DIVISLAB,Divi's Laboratories Limited,DIVISLAB.NS
482,DIXON,Dixon Technologies (India) Limited,DIXON.NS
483,DJML,DJ Mediaprint & Logistics Limited,DJML.NS
484,DLF,DLF Limited,DLF.NS
485,DLINKINDIA,D-Link (India) Limited,DLINKINDIA.NS
486,DMART,Avenue Supermarts Limited,DMART.NS
487,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,DMCC.NS
488,DNAMEDIA,Diligent Media Corporation Limited,DNAMEDIA.NS
489,DODLA,Dodla Dairy Limited,DODLA.NS
490,DOLATALGO,Dolat Algotech Limited,DOLATALGO.NS
491,DOLLAR,Dollar Industries Limited,DOLLAR.NS
492,DOLPHIN,Dolphin Offshore Enterprises (India) Limited,DOLPHIN.NS
493,DOMS,DOMS Industries Limited,DOMS.NS
494,DONEAR,Donear Industries Limited,DONEAR.NS
495,DPABHUSHAN,D. P. Abhushan Limited,DPABHUSHAN.NS
496,DPSCLTD,DPSC Limited,DPSCLTD.NS
497,DPWIRES,D P Wires Limited,DPWIRES.NS
498,DRCSYSTEMS,DRC Systems India Limited,DRCSYSTEMS.NS
499,DREAMFOLKS,Dreamfolks Services Limited,DREAMFOLKS.NS
500,DREDGECORP,Dredging Corporation of India Limited,DREDGECORP.NS
501,DRREDDY,Dr. Reddy's Laboratories Limited,DRREDDY.NS
502,DSSL,Dynacons Systems & Solutions Limited,DSSL.NS
503,DTIL,Dhunseri Tea & Industries Limited,DTIL.NS
504,DUCON,Ducon Infratechnologies Limited,DUCON.NS
505,DVL,Dhunseri Ventures Limited,DVL.NS
506,DWARKESH,Dwarikesh Sugar Industries Limited,DWARKESH.NS
507,DYCL,Dynamic Cables Limited,DYCL.NS
508,DYNAMATECH,Dynamatic Technologies Limited,DYNAMATECH.NS
509,DYNPRO,Dynemic Products Limited,DYNPRO.NS
510,E2E,E2E Networks Limited,E2E.NS
511,EASEMYTRIP,Easy Trip Planners Limited,EASEMYTRIP.NS
512,ECLERX,eClerx Services Limited,ECLERX.NS
513,ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY.NS
514,EDELWEISS,Edelweiss Financial Services Limited,EDELWEISS.NS
515,EICHERMOT,Eicher Motors Limited,EICHERMOT.NS
516,EIDPARRY,EID Parry India Limited,EIDPARRY.NS
517,EIEL,Enviro Infra Engineers Limited,EIEL.NS
518,EIFFL,Euro India Fresh Foods Limited,EIFFL.NS
519,EIHAHOTELS,EIH Associated Hotels Limited,EIHAHOTELS.NS
520,EIHOTEL,EIH Limited,EIHOTEL.NS
521,EIMCOELECO,Eimco Elecon (India) Limited,EIMCOELECO.NS
522,EKC,Everest Kanto Cylinder Limited,EKC.NS
523,ELDEHSG,Eldeco Housing And Industries Limited,ELDEHSG.NS
524,ELECON,Elecon Engineering Company Limited,ELECON.NS
525,ELECTCAST,Electrosteel Castings Limited,ELECTCAST.NS
526,ELECTHERM,Electrotherm (India) Limited,ELECTHERM.NS
527,ELGIEQUIP,Elgi Equipments Limited,ELGIEQUIP.NS
528,ELGIRUBCO,Elgi Rubber Company Limited,ELGIRUBCO.NS
529,ELIN,Elin Electronics Limited,ELIN.NS
530,EMAMILTD,Emami Limited,EMAMILTD.NS
531,EMAMIPAP,Emami Paper Mills Limited,EMAMIPAP.NS
532,EMAMIREAL,Emami Realty Limited,EMAMIREAL.NS
533,EMBDL,Embassy Developments Limited,EMBDL.NS
534,EMCURE,Emcure Pharmaceuticals Limited,EMCURE.NS
535,EMIL,Electronics Mart India Limited,EMIL.NS
536,EMKAY,Emkay Global Financial Services Limited,EMKAY.NS
537,EMMBI,Emmbi Industries Limited,EMMBI.NS
538,EMSLIMITED,EMS Limited,EMSLIMITED.NS
539,EMUDHRA,eMudhra Limited,EMUDHRA.NS
540,ENDURANCE,Endurance Technologies Limited,ENDURANCE.NS
541,ENERGYDEV,Energy Development Company Limited,ENERGYDEV.NS
542,ENGINERSIN,Engineers India Limited,ENGINERSIN.NS
543,ENIL,Entertainment Network (India) Limited,ENIL.NS
544,ENTERO,Entero Healthcare Solutions Limited,ENTERO.NS
545,EPACK,EPACK Durable Limited,EPACK.NS
546,EPIGRAL,Epigral Limited,EPIGRAL.NS
547,EPL,EPL Limited,EPL.NS
548,EQUIPPP,Equippp Social Impact Technologies Limited,EQUIPPP.NS
549,EQUITASBNK,Equitas Small Finance Bank Limited,EQUITASBNK.NS
550,ERIS,Eris Lifesciences Limited,ERIS.NS
551,ESABINDIA,Esab India Limited,ESABINDIA.NS
552,ESAFSFB,ESAF Small Finance Bank Limited,ESAFSFB.NS
553,ESCORTS,Escorts Kubota Limited,ESCORTS.NS
554,ESSARSHPNG,Essar Shipping Limited,ESSARSHPNG.NS
555,ESSENTIA,Integra Essentia Limited,ESSENTIA.NS
556,ESTER,Ester Industries Limited,ESTER.NS
557,ETERNAL,ETERNAL LIMITED,ETERNAL.NS
558,ETHOSLTD,Ethos Limited,ETHOSLTD.NS
559,EUREKAFORB,Eureka Forbes Limited,EUREKAFORB.NS
560,EUROTEXIND,Eurotex Industries and Exports Limited,EUROTEXIND.NS
561,EVEREADY,Eveready Industries India Limited,EVEREADY.NS
562,EVERESTIND,Everest Industries Limited,EVERESTIND.NS
563,EXCEL,Excel Realty N Infra Limited,EXCEL.NS
564,EXCELINDUS,Excel Industries Limited,EXCELINDUS.NS
565,EXICOM,Exicom Tele-Systems Limited,EXICOM.NS
566,EXIDEIND,Exide Industries Limited,EXIDEIND.NS
567,EXPLEOSOL,Expleo Solutions Limited,EXPLEOSOL.NS
568,EXXARO,Exxaro Tiles Limited,EXXARO.NS
569,FACT,Fertilizers and Chemicals Travancore Limited,FACT.NS
570,FAIRCHEMOR,Fairchem Organics Limited,FAIRCHEMOR.NS
571,FAZE3Q,Faze Three Limited,FAZE3Q.NS
572,FCL,Fineotex Chemical Limited,FCL.NS
573,FCSSOFT,FCS Software Solutions Limited,FCSSOFT.NS
574,FDC,FDC Limited,FDC.NS
575,FEDERALBNK,The Federal Bank  Limited,FEDERALBNK.NS
576,FEDFINA,Fedbank Financial Services Limited,FEDFINA.NS
577,FEL,Future Enterprises Limited,FEL.NS
578,FELDVR,Future Enterprises Limited,FELDVR.NS
579,FIBERWEB,Fiberweb (India) Limited,FIBERWEB.NS
580,FIEMIND,Fiem Industries Limited,FIEMIND.NS
581,FILATEX,Filatex India Limited,FILATEX.NS
582,FILATFASH,Filatex Fashions Limited,FILATFASH.NS
583,FINCABLES,Finolex Cables Limited,FINCABLES.NS
584,FINEORG,Fine Organic Industries Limited,FINEORG.NS
585,FINOPB,Fino Payments Bank Limited,FINOPB.NS
586,FINPIPE,Finolex Industries Limited,FINPIPE.NS
587,FIRSTCRY,Brainbees Solutions Limited,FIRSTCRY.NS
588,FIVESTAR,Five-Star Business Finance Limited,FIVESTAR.NS
589,FLAIR,Flair Writing Industries Limited,FLAIR.NS
590,FLEXITUFF,Flexituff Ventures International Limited,FLEXITUFF.NS
591,FLUOROCHEM,Gujarat Fluorochemicals Limited,FLUOROCHEM.NS
592,FMGOETZE,Federal-Mogul Goetze (India) Limited.,FMGOETZE.NS
593,FMNL,Future Market Networks Limited,FMNL.NS
594,FOCUS,Focus Lighting and Fixtures Limited,FOCUS.NS
595,FOODSIN,Foods & Inns Limited,FOODSIN.NS
596,FORCEMOT,FORCE MOTORS LTD,FORCEMOT.NS
597,FORTIS,Fortis Healthcare Limited,FORTIS.NS
598,FOSECOIND,Foseco India Limited,FOSECOIND.NS
599,FSC,Future Supply Chain Solutions Limited,FSC.NS
600,FSL,Firstsource Solutions Limited,FSL.NS
601,FUSION,Fusion Finance Limited,FUSION.NS
602,GABRIEL,Gabriel India Limited,GABRIEL.NS
603,GAEL,Gujarat Ambuja Exports Limited,GAEL.NS
604,GAIL,GAIL (India) Limited,GAIL.NS
605,GALAPREC,Gala Precision Engineering Limited,GALAPREC.NS
606,GALAXYSURF,Galaxy Surfactants Limited,GALAXYSURF.NS
607,GALLANTT,Gallantt Ispat Limited,GALLANTT.NS
608,GANDHAR,Gandhar Oil Refinery (India) Limited,GANDHAR.NS
609,GANDHITUBE,Gandhi Special Tubes Limited,GANDHITUBE.NS
610,GANECOS,Ganesha Ecosphere Limited,GANECOS.NS
611,GANESHBE,Ganesh Benzoplast Limited,GANESHBE.NS
612,GANESHHOUC,Ganesh Housing Corporation Limited,GANESHHOUC.NS
613,GANGAFORGE,Ganga Forging Limited,GANGAFORGE.NS
614,GANGESSECU,Ganges Securities Limited,GANGESSECU.NS
615,GARFIBRES,Garware Technical Fibres Limited,GARFIBRES.NS
616,GARUDA,Garuda Construction and Engineering Limited,GARUDA.NS
617,GATDVR-RE,GACM Technologies Ltd-RE,GATDVR-RE.NS
618,GATECH,GACM Technologies Limited,GATECH.NS
619,GATECH-RE1,GACM Techno Ltd-RE,GATECH-RE1.NS
620,GATECHDVR,GACM Technologies Limited,GATECHDVR.NS
621,GATEWAY,Gateway Distriparks Limited,GATEWAY.NS
622,GAYAHWS,Gayatri Highways Limited,GAYAHWS.NS
623,GEECEE,GeeCee Ventures Limited,GEECEE.NS
624,GEEKAYWIRE,Geekay Wires Limited,GEEKAYWIRE.NS
625,GENCON,Generic Engineering Construction and Projects Limited,GENCON.NS
626,GENESYS,Genesys International Corporation Limited,GENESYS.NS
627,GENSOL,Gensol Engineering Limited,GENSOL.NS
628,GENUSPAPER,Genus Paper & Boards Limited,GENUSPAPER.NS
629,GENUSPOWER,Genus Power Infrastructures Limited,GENUSPOWER.NS
630,GEOJITFSL,Geojit Financial Services Limited,GEOJITFSL.NS
631,GEPIL,GE Power India Limited,GEPIL.NS
632,GESHIP,The Great Eastern Shipping Company Limited,GESHIP.NS
633,GFLLIMITED,GFL Limited,GFLLIMITED.NS
634,GHCL,GHCL Limited,GHCL.NS
635,GHCLTEXTIL,GHCL Textiles Limited,GHCLTEXTIL.NS
636,GICHSGFIN,GIC Housing Finance Limited,GICHSGFIN.NS
637,GICRE,General Insurance Corporation of India,GICRE.NS
638,GILLANDERS,Gillanders Arbuthnot & Company Limited,GILLANDERS.NS
639,GILLETTE,Gillette India Limited,GILLETTE.NS
640,GINNIFILA,Ginni Filaments Limited,GINNIFILA.NS
641,GIPCL,Gujarat Industries Power Company Limited,GIPCL.NS
642,GKWLIMITED,GKW Limited,GKWLIMITED.NS
643,GLAND,Gland Pharma Limited,GLAND.NS
644,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,GLAXO.NS
645,GLENMARK,Glenmark Pharmaceuticals Limited,GLENMARK.NS
646,GLFL,Gujarat Lease Financing Limited,GLFL.NS
647,GLOBAL,Global Education Limited,GLOBAL.NS
648,GLOBALE,Globale Tessile Limited,GLOBALE.NS
649,GLOBALVECT,Global Vectra Helicorp Limited,GLOBALVECT.NS
650,GLOBE,Globe Textiles (India) Limited,GLOBE.NS
651,GLOBUSSPR,Globus Spirits Limited,GLOBUSSPR.NS
652,GLOSTERLTD,Gloster Limited,GLOSTERLTD.NS
653,GMBREW,GM Breweries Limited,GMBREW.NS
654,GMDCLTD,Gujarat Mineral Development Corporation Limited,GMDCLTD.NS
655,GMMPFAUDLR,GMM Pfaudler Limited,GMMPFAUDLR.NS
656,GMRAIRPORT,GMR AIRPORTS LIMITED,GMRAIRPORT.NS
657,GMRP&UI,GMR Power and Urban Infra Limited,GMRP&UI.NS
658,GNA,GNA Axles Limited,GNA.NS
659,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC.NS
660,GOACARBON,Goa Carbon Limited,GOACARBON.NS
661,GOCLCORP,GOCL Corporation Limited,GOCLCORP.NS
662,GOCOLORS,Go Fashion (India) Limited,GOCOLORS.NS
663,GODAVARIB,Godavari Biorefineries Limited,GODAVARIB.NS
664,GODFRYPHLP,Godfrey Phillips India Limited,GODFRYPHLP.NS
665,GODHA,Godha Cabcon & Insulation Limited,GODHA.NS
666,GODIGIT,Go Digit General Insurance Limited,GODIGIT.NS
667,GODREJAGRO,Godrej Agrovet Limited,GODREJAGRO.NS
668,GODREJCP,Godrej Consumer Products Limited,GODREJCP.NS
669,GODREJIND,Godrej Industries Limited,GODREJIND.NS
670,GODREJPROP,Godrej Properties Limited,GODREJPROP.NS
671,GOENKA,Goenka Diamond and Jewels Limited,GOENKA.NS
672,GOKEX,Gokaldas Exports Limited,GOKEX.NS
673,GOKUL,Gokul Refoils and Solvent Limited,GOKUL.NS
674,GOKULAGRO,Gokul Agro Resources Limited,GOKULAGRO.NS
675,GOLDENTOBC,Golden Tobacco Limited,GOLDENTOBC.NS
676,GOLDIAM,Goldiam International Limited,GOLDIAM.NS
677,GOLDTECH,AION-TECH SOLUTIONS LIMITED,GOLDTECH.NS
678,GOODLUCK,Goodluck India Limited,GOODLUCK.NS
679,GOPAL,Gopal Snacks Limited,GOPAL.NS
680,GOYALALUM,Goyal Aluminiums Limited,GOYALALUM.NS
681,GPIL,Godawari Power And Ispat limited,GPIL.NS
682,GPPL,Gujarat Pipavav Port Limited,GPPL.NS
683,GPTHEALTH,GPT Healthcare Limited,GPTHEALTH.NS
684,GPTINFRA,GPT Infraprojects Limited,GPTINFRA.NS
685,GRANULES,Granules India Limited,GRANULES.NS
686,GRAPHITE,Graphite India Limited,GRAPHITE.NS
687,GRASIM,Grasim Industries Limited,GRASIM.NS
688,GRAVITA,Gravita India Limited,GRAVITA.NS
689,GREAVESCOT,Greaves Cotton Limited,GREAVESCOT.NS
690,GREENLAM,Greenlam Industries Limited,GREENLAM.NS
691,GREENPANEL,Greenpanel Industries Limited,GREENPANEL.NS
692,GREENPLY,Greenply Industries Limited,GREENPLY.NS
693,GREENPOWER,Orient Green Power Company Limited,GREENPOWER.NS
694,GRINDWELL,Grindwell Norton Limited,GRINDWELL.NS
695,GRINFRA,G R Infraprojects Limited,GRINFRA.NS
696,GRMOVER,GRM Overseas Limited,GRMOVER.NS
697,GROBTEA,The Grob Tea Company Limited,GROBTEA.NS
698,GRPLTD,GRP Limited,GRPLTD.NS
699,GRSE,Garden Reach Shipbuilders & Engineers Limited,GRSE.NS
700,GRWRHITECH,Garware Hi-Tech Films Limited,GRWRHITECH.NS
701,GSFC,Gujarat State Fertilizers & Chemicals Limited,GSFC.NS
702,GSLSU,Global Surfaces Limited,GSLSU.NS
703,GSPL,Gujarat State Petronet Limited,GSPL.NS
704,GSS,GSS Infotech Limited,GSS.NS
705,GTECJAINX,G-TEC JAINX EDUCATION LIMITED,GTECJAINX.NS
706,GTL,GTL Limited,GTL.NS
707,GTLINFRA,GTL Infrastructure Limited,GTLINFRA.NS
708,GTPL,GTPL Hathway Limited,GTPL.NS
709,GUFICBIO,Gufic Biosciences Limited,GUFICBIO.NS
710,GUJALKALI,Gujarat Alkalies and Chemicals Limited,GUJALKALI.NS
711,GUJAPOLLO,Gujarat Apollo Industries Limited,GUJAPOLLO.NS
712,GUJGASLTD,Gujarat Gas Limited,GUJGASLTD.NS
713,GUJRAFFIA,Gujarat Raffia Industries Limited,GUJRAFFIA.NS
714,GUJTHEM,Gujarat Themis Biosyn Limited,GUJTHEM.NS
715,GULFOILLUB,Gulf Oil Lubricants India Limited,GULFOILLUB.NS
716,GULFPETRO,GP Petroleums Limited,GULFPETRO.NS
717,GULPOLY,Gulshan Polyols Limited,GULPOLY.NS
718,GVKPIL,GVK Power & Infrastructure Limited,GVKPIL.NS
719,GVPTECH,GVP Infotech Limited,GVPTECH.NS
720,GVT&D,GE Vernova T&D India Limited,GVT&D.NS
721,HAL,Hindustan Aeronautics Limited,HAL.NS
722,HAPPSTMNDS,Happiest Minds Technologies Limited,HAPPSTMNDS.NS
723,HAPPYFORGE,Happy Forgings Limited,HAPPYFORGE.NS
724,HARDWYN,Hardwyn India Limited,HARDWYN.NS
725,HARIOMPIPE,Hariom Pipe Industries Limited,HARIOMPIPE.NS
726,HARRMALAYA,Harrisons  Malayalam Limited,HARRMALAYA.NS
727,HARSHA,Harsha Engineers International Limited,HARSHA.NS
728,HATHWAY,Hathway Cable & Datacom Limited,HATHWAY.NS
729,HATSUN,Hatsun Agro Product Limited,HATSUN.NS
730,HAVELLS,Havells India Limited,HAVELLS.NS
731,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,HAVISHA.NS
732,HBLENGINE,HBL Engineering Limited,HBLENGINE.NS
733,HBSL,HB Stockholdings Limited,HBSL.NS
734,HCC,Hindustan Construction Company Limited,HCC.NS
735,HCG,Healthcare Global Enterprises Limited,HCG.NS
736,HCL-INSYS,HCL Infosystems Limited,HCL-INSYS.NS
737,HCLTECH,HCL Technologies Limited,HCLTECH.NS
738,HDFCAMC,HDFC Asset Management Company Limited,HDFCAMC.NS
739,HDFCBANK,HDFC Bank Limited,HDFCBANK.NS
740,HDFCLIFE,HDFC Life Insurance Company Limited,HDFCLIFE.NS
741,HEADSUP,Heads UP Ventures Limited,HEADSUP.NS
742,HECPROJECT,HEC Infra Projects Limited,HECPROJECT.NS
743,HEG,HEG Limited,HEG.NS
744,HEIDELBERG,HeidelbergCement India Limited,HEIDELBERG.NS
745,HEMIPROP,Hemisphere Properties India Limited,HEMIPROP.NS
746,HERANBA,Heranba Industries Limited,HERANBA.NS
747,HERCULES,Hercules Hoists Limited,HERCULES.NS
748,HERITGFOOD,Heritage Foods Limited,HERITGFOOD.NS
749,HEROMOTOCO,Hero MotoCorp Limited,HEROMOTOCO.NS
750,HESTERBIO,Hester Biosciences Limited,HESTERBIO.NS
751,HEUBACHIND,Heubach Colorants India Limited,HEUBACHIND.NS
752,HEXATRADEX,Hexa Tradex Limited,HEXATRADEX.NS
753,HEXT,Hexaware Technologies Limited,HEXT.NS
754,HFCL,HFCL Limited,HFCL.NS
755,HGINFRA,H.G. Infra Engineering Limited,HGINFRA.NS
756,HGS,Hinduja Global Solutions Limited,HGS.NS
757,HIKAL,Hikal Limited,HIKAL.NS
758,HILTON,Hilton Metal Forging Limited,HILTON.NS
759,HIMATSEIDE,Himatsingka Seide Limited,HIMATSEIDE.NS
760,HINDALCO,Hindalco Industries Limited,HINDALCO.NS
761,HINDCOMPOS,Hindustan Composites Limited,HINDCOMPOS.NS
762,HINDCON,Hindcon Chemicals Limited,HINDCON.NS
763,HINDCOPPER,Hindustan Copper Limited,HINDCOPPER.NS
764,HINDMOTORS,Hindustan Motors Limited,HINDMOTORS.NS
765,HINDNATGLS,Hindusthan National Glass & Industries Limited,HINDNATGLS.NS
766,HINDOILEXP,Hindustan Oil Exploration Company Limited,HINDOILEXP.NS
767,HINDPETRO,Hindustan Petroleum Corporation Limited,HINDPETRO.NS
768,HINDUNILVR,Hindustan Unilever Limited,HINDUNILVR.NS
769,HINDWAREAP,Hindware Home Innovation Limited,HINDWAREAP.NS
770,HINDZINC,Hindustan Zinc Limited,HINDZINC.NS
771,HIRECT,Hind Rectifiers Limited,HIRECT.NS
772,HISARMETAL,Hisar Metal Industries Limited,HISARMETAL.NS
773,HITECH,Hi-Tech Pipes Limited,HITECH.NS
774,HITECHCORP,Hitech Corporation Limited,HITECHCORP.NS
775,HITECHGEAR,The Hi-Tech Gears Limited,HITECHGEAR.NS
776,HLEGLAS,HLE Glascoat Limited,HLEGLAS.NS
777,HLVLTD,HLV LIMITED,HLVLTD.NS
778,HMAAGRO,HMA Agro Industries Limited,HMAAGRO.NS
779,HMT,HMT Limited,HMT.NS
780,HMVL,Hindustan Media Ventures Limited,HMVL.NS
781,HNDFDS,Hindustan Foods Limited,HNDFDS.NS
782,HOMEFIRST,Home First Finance Company India Limited,HOMEFIRST.NS
783,HONASA,Honasa Consumer Limited,HONASA.NS
784,HONAUT,Honeywell Automation India Limited,HONAUT.NS
785,HONDAPOWER,Honda India Power Products Limited,HONDAPOWER.NS
786,HOVS,HOV Services Limited,HOVS.NS
787,HPAL,HP Adhesives Limited,HPAL.NS
788,HPIL,Hindprakash Industries Limited,HPIL.NS
789,HPL,HPL Electric & Power Limited,HPL.NS
790,HSCL,Himadri Speciality Chemical Limited,HSCL.NS
791,HTMEDIA,HT Media Limited,HTMEDIA.NS
792,HUBTOWN,Hubtown Limited,HUBTOWN.NS
793,HUDCO,Housing & Urban Development Corporation Limited,HUDCO.NS
794,HUHTAMAKI,Huhtamaki India Limited,HUHTAMAKI.NS
795,HYBRIDFIN,Hybrid Financial Services Limited,HYBRIDFIN.NS
796,HYUNDAI,Hyundai Motor India Limited,HYUNDAI.NS
797,ICDSLTD,ICDS Limited,ICDSLTD.NS
798,ICEMAKE,Ice Make Refrigeration Limited,ICEMAKE.NS
799,ICICIBANK,ICICI Bank Limited,ICICIBANK.NS
800,ICICIGI,ICICI Lombard General Insurance Company Limited,ICICIGI.NS
801,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS
802,ICIL,Indo Count Industries Limited,ICIL.NS
803,ICRA,ICRA Limited,ICRA.NS
804,IDBI,IDBI Bank Limited,IDBI.NS
805,IDEA,Vodafone Idea Limited,IDEA.NS
806,IDEAFORGE,Ideaforge Technology Limited,IDEAFORGE.NS
807,IDFCFIRSTB,IDFC First Bank Limited,IDFCFIRSTB.NS
808,IEL,Indiabulls Enterprises Limited,IEL.NS
809,IEX,Indian Energy Exchange Limited,IEX.NS
810,IFBAGRO,IFB Agro Industries Limited,IFBAGRO.NS
811,IFBIND,IFB Industries Limited,IFBIND.NS
812,IFCI,IFCI Limited,IFCI.NS
813,IFGLEXPOR,IFGL Refractories Limited,IFGLEXPOR.NS
814,IGARASHI,Igarashi Motors India Limited,IGARASHI.NS
815,IGIL,International Gemmological Institute (India) Limited,IGIL.NS
816,IGL,Indraprastha Gas Limited,IGL.NS
817,IGPL,IG Petrochemicals Limited,IGPL.NS
818,IIFL,IIFL Finance Limited,IIFL.NS
819,IIFLCAPS,IIFL Capital Services Limited,IIFLCAPS.NS
820,IITL,Industrial Investment Trust Limited,IITL.NS
821,IKIO,IKIO Technologies Limited,IKIO.NS
822,IKS,Inventurus Knowledge Solutions Limited,IKS.NS
823,IL&FSENGG,IL&FS Engineering and Construction Company Limited,IL&FSENGG.NS
824,IL&FSTRANS,IL&FS Transportation Networks Limited,IL&FSTRANS.NS
825,IMAGICAA,Imagicaaworld Entertainment Limited,IMAGICAA.NS
826,IMFA,Indian Metals & Ferro Alloys Limited,IMFA.NS
827,IMPAL,India Motor Parts and Accessories Limited,IMPAL.NS
828,IMPEXFERRO,Impex Ferro Tech Limited,IMPEXFERRO.NS
829,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,INCREDIBLE.NS
830,INDBANK,Indbank Merchant Banking Services Limited,INDBANK.NS
831,INDGN,Indegene Limited,INDGN.NS
832,INDHOTEL,The Indian Hotels Company Limited,INDHOTEL.NS
833,INDIACEM,The India Cements Limited,INDIACEM.NS
834,INDIAGLYCO,India Glycols Limited,INDIAGLYCO.NS
835,INDIAMART,Indiamart Intermesh Limited,INDIAMART.NS
836,INDIANB,Indian Bank,INDIANB.NS
837,INDIANCARD,Indian Card Clothing Company Limited,INDIANCARD.NS
838,INDIANHUME,Indian Hume Pipe Company Limited,INDIANHUME.NS
839,INDIASHLTR,India Shelter Finance Corporation Limited,INDIASHLTR.NS
840,INDIGO,InterGlobe Aviation Limited,INDIGO.NS
841,INDIGOPNTS,Indigo Paints Limited,INDIGOPNTS.NS
842,INDNIPPON,India Nippon Electricals Limited,INDNIPPON.NS
843,INDOAMIN,Indo Amines Limited,INDOAMIN.NS
844,INDOBORAX,Indo Borax & Chemicals Limited,INDOBORAX.NS
845,INDOCO,Indoco Remedies Limited,INDOCO.NS
846,INDOFARM,Indo Farm Equipment Limited,INDOFARM.NS
847,INDORAMA,Indo Rama Synthetics (India) Limited,INDORAMA.NS
848,INDOSTAR,IndoStar Capital Finance Limited,INDOSTAR.NS
849,INDOTECH,Indo Tech Transformers Limited,INDOTECH.NS
850,INDOTHAI,Indo Thai Securities Limited,INDOTHAI.NS
851,INDOUS,Indo Us Biotech Limited,INDOUS.NS
852,INDOWIND,Indowind Energy Limited,INDOWIND.NS
853,INDRAMEDCO,Indraprastha Medical Corporation Limited,INDRAMEDCO.NS
854,INDSWFTLAB,Ind-Swift Laboratories Limited,INDSWFTLAB.NS
855,INDSWFTLTD,Ind-Swift Limited,INDSWFTLTD.NS
856,INDTERRAIN,Indian Terrain Fashions Limited,INDTERRAIN.NS
857,INDUSINDBK,IndusInd Bank Limited,INDUSINDBK.NS
